Canton,Nationalité,Mois,Septembre 2017,Septembre 2017,Septembre 2017,Septembre 2017,Septembre 2017,Total,Total,Total,Total,Total
 , ,Mesures,Taux de chomage,Coefficients de variation,Chomeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chomeurs,Taux de chomage,Coefficients de variation,Chomeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chomeurs
Zurich,Etrangers,,5.3,A,12'111,15'384,3'273,5.3,A,12'111,15'384,3'273
Zurich,Suisses,,2.5,A,15'114,18'772,3'658,2.5,A,15'114,18'772,3'658
Berne,Etrangers,,5.5,A,4'900,6'859,1'959,5.5,A,4'900,6'859,1'959
Berne,Suisses,,1.8,A,8'758,11'526,2'768,1.8,A,8'758,11'526,2'768
Lucerne,Etrangers,,3.9,B,1'593,2'902,1'309,3.9,B,1'593,2'902,1'309
Lucerne,Suisses,,1.3,A,2'292,3'854,1'562,1.3,A,2'292,3'854,1'562
Uri,Etrangers,,2.1,D,53,130,77,2.1,D,53,130,77
Uri,Suisses,,0.4,C,59,127,68,0.4,C,59,127,68
Schwyz,Etrangers,,3.4,C,617,1'027,410,3.4,C,617,1'027,410
Schwyz,Suisses,,1.2,B,838,1'202,364,1.2,B,838,1'202,364
Obwald,Etrangers,,2.2,D,68,144,76,2.2,D,68,144,76
Obwald,Suisses,,0.5,C,85,175,90,0.5,C,85,175,90
Nidwald,Etrangers,,2.9,D,94,172,78,2.9,D,94,172,78
Nidwald,Suisses,,0.7,B,154,264,110,0.7,B,154,264,110
Glaris,Etrangers,,3.4,C,184,363,179,3.4,C,184,363,179
Glaris,Suisses,,1.4,C,232,350,118,1.4,C,232,350,118
Zoug,Etrangers,,3.9,C,717,1'217,500,3.9,C,717,1'217,500
Zoug,Suisses,,1.7,B,826,1'398,572,1.7,B,826,1'398,572
Fribourg,Etrangers,,5,B,1'888,3'569,1'681,5,B,1'888,3'569,1'681
Fribourg,Suisses,,2,A,2'578,4'268,1'690,2,A,2'578,4'268,1'690
Soleure,Etrangers,,5,B,1'569,2'927,1'358,5,B,1'569,2'927,1'358
Soleure,Suisses,,1.9,A,2'232,3'701,1'469,1.9,A,2'232,3'701,1'469
Bâle-Ville,Etrangers,,4.6,B,1'780,2'719,939,4.6,B,1'780,2'719,939
Bâle-Ville,Suisses,,2.8,B,1'675,2'449,774,2.8,B,1'675,2'449,774
Bâle-Campagne,Etrangers,,4.8,B,1'596,2'288,692,4.8,B,1'596,2'288,692
Bâle-Campagne,Suisses,,2.2,A,2'486,3'252,766,2.2,A,2'486,3'252,766
Schaffhouse,Etrangers,,5.1,C,595,1'122,527,5.1,C,595,1'122,527
Schaffhouse,Suisses,,2.2,B,691,1'206,515,2.2,B,691,1'206,515
Appenzell Rhodes-Extérieures,Etrangers,,3.4,C,179,306,127,3.4,C,179,306,127
Appenzell Rhodes-Extérieures,Suisses,,1.4,B,344,560,216,1.4,B,344,560,216
Appenzell Rhodes-Intérieures,Etrangers,,2,D,23,33,10,2,D,23,33,10
Appenzell Rhodes-Intérieures,Suisses,,0.5,C,39,69,30,0.5,C,39,69,30
St-Gall,Etrangers,,4.3,B,2'902,5'079,2'177,4.3,B,2'902,5'079,2'177
St-Gall,Suisses,,1.5,A,3'225,5'284,2'059,1.5,A,3'225,5'284,2'059
Grisons,Etrangers,,2.3,B,527,1'257,730,2.3,B,527,1'257,730
Grisons,Suisses,,0.7,A,639,1'333,694,0.7,A,639,1'333,694
Argovie,Etrangers,,5.6,A,4'972,7'280,2'308,5.6,A,4'972,7'280,2'308
Argovie,Suisses,,2.1,A,5'712,7'865,2'153,2.1,A,5'712,7'865,2'153
Thurgovie,Etrangers,,3.9,B,1'475,2'795,1'320,3.9,B,1'475,2'795,1'320
Thurgovie,Suisses,,1.4,A,1'583,2'823,1'240,1.4,A,1'583,2'823,1'240
Tessin,Etrangers,,4.6,B,2'303,4'034,1'731,4.6,B,2'303,4'034,1'731
Tessin,Suisses,,2.5,A,2'899,4'641,1'742,2.5,A,2'899,4'641,1'742
Vaud,Etrangers,,5.9,A,8'264,12'166,3'902,5.9,A,8'264,12'166,3'902
Vaud,Suisses,,3.5,A,8'891,12'483,3'592,3.5,A,8'891,12'483,3'592
Valais,Etrangers,,4.9,B,2'126,3'772,1'646,4.9,B,2'126,3'772,1'646
Valais,Suisses,,2.1,A,2'690,4'255,1'565,2.1,A,2'690,4'255,1'565
Neuchâtel,Etrangers,,7.4,B,1'970,2'670,700,7.4,B,1'970,2'670,700
Neuchâtel,Suisses,,4.2,B,2'768,3'680,912,4.2,B,2'768,3'680,912
Genève,Etrangers,,5.7,A,5'942,7'601,1'659,5.7,A,5'942,7'601,1'659
Genève,Suisses,,4.8,A,6'292,7'896,1'604,4.8,A,6'292,7'896,1'604
Jura,Etrangers,,9,C,505,729,224,9,C,505,729,224
Jura,Suisses,,3.6,B,1'114,1'646,532,3.6,B,1'114,1'646,532
Total,,,3,A,133'169,193'624,60'455,3,A,133'169,193'624,60'455
